procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  0      0   3317     57    831    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 02:43:47
11  1      0   3299     57    831    0    0     0    56 3889 9247 12  2 85  1  0 2026-07-04 02:43:49
11  1      0   3262     57    833    0    0     0  1370 15213 39934 66 13 20  2  0 2026-07-04 02:43:51
16  1      0   3231     57    836    0    0     0  2162 18510 46292 63 17 19  1  0 2026-07-04 02:43:53
17  0      0   3165     57    840    0    0     0  2080 20628 50766 61 20 19  1  0 2026-07-04 02:43:55
15  0      0   2962     57    844    0    0    60  2140 20803 49043 60 20 19  1  0 2026-07-04 02:43:57
17  1      0   2804     57    849    0    0     0  2500 22793 50840 58 22 19  1  0 2026-07-04 02:43:59
15  1      0   2765     57    870    0    0     0 10504 23632 50807 58 21 19  1  0 2026-07-04 02:44:01
14  1      0   2758     57    874    0    0     0  2728 24763 51763 57 22 20  1  0 2026-07-04 02:44:03
 6  0      0   2735     57    878    0    0     0  1788 24965 48654 57 21 20  2  0 2026-07-04 02:44:05
 8  1      0   2693     57    880    0    0     0  1346 26253 45481 51 21 25  3  0 2026-07-04 02:44:07
 6  1      0   2583     57    883    0    0     0  1348 25739 45876 51 24 23  2  0 2026-07-04 02:44:09
 5  0      0   2539     57    885    0    0     0  1008 25064 39239 47 20 29  4  0 2026-07-04 02:44:11
 6  1      0   2533     57    886    0    0    10  1606 25951 38322 49 22 27  2  0 2026-07-04 02:44:13
17  1      0   2505     57    908    0    0     0 11120 28005 55121 52 26 21  1  0 2026-07-04 02:44:15
12  0      0   2501     57    911    0    0     0  1826 26200 43475 51 23 24  2  0 2026-07-04 02:44:17
 6  1      0   2479     57    914    0    0     0  1954 26263 50806 47 23 27  3  0 2026-07-04 02:44:19
 8  1      0   2477     57    916    0    0     0 12194 27242 55444 38 22 33  6  0 2026-07-04 02:44:21
 7  1      0   2467     57    919    0    0     0  2184 27860 61117 46 25 27  2  0 2026-07-04 02:44:23
 4  1      0   2448     57    920    0    0     0   832 26808 48091 46 21 29  4  0 2026-07-04 02:44:25
10  0      0   2440     57    924    0    0     0  2328 29749 70586 49 26 22  4  0 2026-07-04 02:44:27
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
13  1      0   2442     57    946    0    0     0 11518 31670 96345 35 28 33  4  0 2026-07-04 02:44:29
 7  1      0   2437     57    950    0    0     0  2642 31442 91919 33 29 34  5  0 2026-07-04 02:44:31
12  2      0   2432     57    956    0    0     0  3502 31768 96599 35 30 31  4  0 2026-07-04 02:44:33
 4  1      0   2381     57    978    0    0     0 11566 32857 102887 35 32 29  4  0 2026-07-04 02:44:35
10  1      0   2376     57    984    0    0     0  3368 32924 100345 35 33 28  4  0 2026-07-04 02:44:37
 8  1      0   2375     57    988    0    0     0  2504 30691 89444 33 30 33  5  0 2026-07-04 02:44:39
11  1      0   2352     57   1008    0    0     0 10552 32796 105493 29 32 34  5  0 2026-07-04 02:44:41
13  1      0   2331     57   1014    0    0     0  3490 31821 96241 32 31 33  4  0 2026-07-04 02:44:43
 8  1      0   2319     57   1020    0    0     0  3326 31898 94494 37 32 28  3  0 2026-07-04 02:44:45
 4  1      0   2335     57   1024    0    0     0  2574 32380 94280 33 30 32  5  0 2026-07-04 02:44:47
 7  1      0   2302     57   1046    0    0     2 11308 32595 106125 34 29 33  4  0 2026-07-04 02:44:49
