procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 3  0      0   3252     61    838    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 02:51:34
 9  1      0   3221     61    838    0    0     0   180 5617 14073 20  3 76  1  0 2026-07-04 02:51:36
11  1      0   3191     61    841    0    0     0  1570 14333 42388 66 11 22  2  0 2026-07-04 02:51:38
12  1      0   3166     61    844    0    0     0  1948 18069 53445 64 15 20  1  0 2026-07-04 02:51:40
18  1      0   3016     61    849    0    0     0  2478 18955 56997 61 19 19  1  0 2026-07-04 02:51:42
14  1      0   2718     61    854    0    0     0  3256 20386 58673 62 19 18  1  0 2026-07-04 02:51:44
15  0      0   2551     61    877    0    0     0 10610 21691 62001 59 23 17  1  0 2026-07-04 02:51:46
11  1      0   2531     61    885    0    0     0  4452 22216 59692 61 22 17  0  0 2026-07-04 02:51:48
 6  1      0   2496     61    894    0    0     0  3992 22782 60700 61 22 17  1  0 2026-07-04 02:51:50
22  1      0   2451     61    919    0    0     0 12308 24492 69555 58 23 17  1  0 2026-07-04 02:51:52
16  1      0   2436     61    947    0    0     0 13518 25534 70960 57 26 17  0  0 2026-07-04 02:51:54
 8  1      0   2402     61    958    0    0     6  5128 26803 75565 57 27 16  1  0 2026-07-04 02:51:56
 4  1      0   2375     61    983    0    0     0 11856 25527 67887 57 24 18  1  0 2026-07-04 02:51:58
13  0      0   2345     61    993    0    0     0  5230 25537 68096 55 26 18  1  0 2026-07-04 02:52:00
23  1      0   2310     61   1017    0    0     2 11816 24300 66821 56 24 19  1  0 2026-07-04 02:52:02
17  0      0   2295     62   1026    0    0     0  5406 22975 59240 56 25 18  1  0 2026-07-04 02:52:04
15  5      0   2253     62   1051    0    0     0 11964 25328 69197 54 27 15  4  0 2026-07-04 02:52:06
20  0      0   2225     62   1062    0    0     0  5900 24779 69707 52 28 18  2  0 2026-07-04 02:52:08
14  2      0   2202     62   1084    0    0    60 22420 27323 96725 47 31 18  4  0 2026-07-04 02:52:10
10  0      0   2170     62   1088    0    0     2 22772 28218 100012 46 30 17  7  0 2026-07-04 02:52:12
17  1      0   2144     62   1119    0    0     0 14804 26365 83357 49 31 19  1  0 2026-07-04 02:52:14
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 8  0      0   2108     62   1130    0    0     0  6206 25076 76160 52 28 20  1  0 2026-07-04 02:52:16
27  0      0   2087     62   1158    0    0     0 13398 26415 82029 51 28 19  1  0 2026-07-04 02:52:18
 9  1      0   2033     62   1185    0    0     0 13738 26296 77688 52 28 19  1  0 2026-07-04 02:52:20
29  0      0   1999     62   1198    0    0     0  6536 26115 83565 51 29 20  1  0 2026-07-04 02:52:22
16  0      0   1958     62   1227    0    0     0 14166 27164 99674 47 32 19  2  0 2026-07-04 02:52:24
17  0      0   1918     62   1256    0    0     0 14238 27943 106790 46 31 21  2  0 2026-07-04 02:52:26
17  1      0   1895     62   1286    0    0     0 14872 27459 94298 48 30 21  1  0 2026-07-04 02:52:28
 7  0      0   1857     62   1302    0    0     0  7958 27180 90747 49 30 20  1  0 2026-07-04 02:52:30
13  1      0   1819     62   1331    0    0     0 14294 28069 105037 48 30 21  1  0 2026-07-04 02:52:32
31  0      0   1785     62   1361    0    0     0 14372 27331 98045 48 30 21  1  0 2026-07-04 02:52:34
16  0      0   1748     62   1390    0    0     0 14658 28264 107493 46 31 21  1  0 2026-07-04 02:52:36
 7  1      0   1713     62   1421    0    0     0 15144 26925 93675 48 31 20  1  0 2026-07-04 02:52:38
15  1      0   1700     62   1436    0    0     0  7478 27440 94253 48 30 20  2  0 2026-07-04 02:52:40
13  2      0   1677     62   1464    0    0     0 18096 28582 109485 47 31 22  1  0 2026-07-04 02:52:42
 7  3      0   1672     62   1470    0    0     2 33576 30206 122196 45 33 15  8  0 2026-07-04 02:52:44
15  0      0   1644     62   1489    0    0     0 28744 32306 148036 36 31 28  5  0 2026-07-04 02:52:46
 3  1      0   1615     62   1523    0    0     0 15596 28275 105569 46 33 20  1  0 2026-07-04 02:52:48
 9  0      0   1601     62   1538    0    0     0  7860 26833 93937 49 29 21  1  0 2026-07-04 02:52:50
 9  0      0   1561     62   1569    0    0     0 15136 28794 112805 46 31 20  3  0 2026-07-04 02:52:52
17  0      0   1526     62   1600    0    0     0 14738 27220 100228 47 31 20  1  0 2026-07-04 02:52:54
12  1      0   1513     62   1630    0    0     0 14762 28359 108555 46 32 20  1  0 2026-07-04 02:52:56
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
13  0      0   1471     62   1662    0    0     0 14872 28367 106441 46 30 22  1  0 2026-07-04 02:52:58
25  1      0   1437     62   1694    0    0     0 14148 27407 92510 48 32 20  1  0 2026-07-04 02:53:00
21  0      0   1404     62   1709    0    0     0  8664 28138 109476 44 31 22  2  0 2026-07-04 02:53:02
 8  0      0   1389     62   1741    0    0     0 15194 28134 106262 45 34 20  1  0 2026-07-04 02:53:04
29  0      0   1361     62   1770    0    0     0 13950 27534 106762 44 32 23  1  0 2026-07-04 02:53:06
 8  1      0   1332     62   1800    0    0     0 15088 28607 110763 43 32 23  1  0 2026-07-04 02:53:08
15  1      0   1285     62   1832    0    0     0 15028 27224 97223 46 32 21  1  0 2026-07-04 02:53:10
14  1      0   1275     62   1849    0    0     0  8394 26839 96900 47 32 20  1  0 2026-07-04 02:53:12
13  0      0   1250     62   1878    0    0     0 13646 28376 111607 44 31 23  2  0 2026-07-04 02:53:14
 7  0      0   1221     62   1907    0    0     0 14334 28607 106928 48 29 21  1  0 2026-07-04 02:53:16
10  2      0   1216     62   1913    0    0     0 43964 31060 136002 40 31 21  8  0 2026-07-04 02:53:18
19  1      0   1184     62   1935    0    0     0 28016 31973 138203 38 32 23  7  0 2026-07-04 02:53:20
10  1      0   1169     62   1957    0    0     0 18026 31392 134875 40 32 21  7  0 2026-07-04 02:53:22
15  1      0   1164     62   1963    0    0     0 16484 31412 135845 40 32 26  3  0 2026-07-04 02:53:24
29  1      0   1134     62   1990    0    0    42 15814 30231 125731 42 32 22  4  0 2026-07-04 02:53:26
24  0      0   1106     62   2018    0    0     0 16986 29207 114025 44 32 23  1  0 2026-07-04 02:53:28
15  2      0   1074     62   2050    0    0     2 14920 28220 101417 47 31 21  1  0 2026-07-04 02:53:30
24  1      0   1053     62   2063    0    0     0 14416 28657 105650 47 30 22  2  0 2026-07-04 02:53:32
19  0      0   1031     62   2091    0    0     2 16092 29222 106930 48 31 18  3  0 2026-07-04 02:53:34
11  1      0   1001     62   2118    0    0     2 17972 29207 117579 44 32 23  2  0 2026-07-04 02:53:36
20  1      0    969     62   2151    0    0     0 20242 27386 97565 47 32 20  1  0 2026-07-04 02:53:38
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
12  1      0    960     62   2162    0    0     0  7874 29509 115249 44 31 23  2  0 2026-07-04 02:53:40
20  1      0    928     62   2190    0    0     0 17400 29209 118329 43 33 22  2  0 2026-07-04 02:53:42
16  1      0    898     62   2221    0    0     4 18200 28267 105687 46 32 20  2  0 2026-07-04 02:53:44
14  0      0    888     62   2233    0    0     0 10102 28816 108785 45 30 23  2  0 2026-07-04 02:53:46
13  0      0    839     62   2263    0    0     0 17112 28871 113269 43 32 23  2  0 2026-07-04 02:53:48
19  0      0    829     62   2289    0    0     0 15952 29489 117815 42 34 20  3  0 2026-07-04 02:53:50
 9  2      0    823     62   2297    0    0     0 34192 30936 134626 38 33 21  8  0 2026-07-04 02:53:52
15  1      0    805     62   2306    0    0     0 25304 29554 115889 44 32 19  5  0 2026-07-04 02:53:54
16  0      0    784     62   2334    0    0     0 16108 29764 119328 42 32 23  2  0 2026-07-04 02:53:56
21  0      0    753     62   2365    0    0     2 18660 28572 111368 44 32 22  2  0 2026-07-04 02:53:58
 8  1      0    723     62   2393    0    0     0 16970 29340 111364 45 32 22  2  0 2026-07-04 02:54:00
