procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 7  1      0   1662     49   2522    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 01:59:30
14  0      0   1468     49   2522    0    0    40   228 7891 17462 42  5 52  1  0 2026-07-04 01:59:32
 7  0      0   1314     49   2526    0    0     0  1148 14426 21469 67  9 24  0  0 2026-07-04 01:59:34
60  1      0   1204     49   2533    0    0     2  1768 14588 21226 68 10 22  0  0 2026-07-04 01:59:36
28  0      0   1149     49   2544    0    0     4  2694 14820 24985 68 11 20  1  0 2026-07-04 01:59:38
162  0      0    956     49   2554    0    0     0  3842 14468 24298 67 13 20  0  0 2026-07-04 01:59:40
15  0      0    817     49   2563    0    0     0  3054 14117 23525 66 13 21  0  0 2026-07-04 01:59:42
99  1      0    801     49   2572    0    0     2  3050 14830 24509 66 12 22  0  0 2026-07-04 01:59:44
66  0      0    797     49   2581    0    0     0  3022 15703 26416 66 12 21  0  0 2026-07-04 01:59:46
19  0      0    780     49   2589    0    0     0  3274 15611 24815 65 14 21  0  0 2026-07-04 01:59:48
32  0      0    668     49   2597    0    0     0  3184 15857 25579 66 14 20  0  0 2026-07-04 01:59:50
17  1      0    680     49   2605    0    0     2  3214 15528 24367 66 13 21  0  0 2026-07-04 01:59:52
39  0      0    667     49   2608    0    0     0  3284 16015 25081 65 13 22  0  0 2026-07-04 01:59:54
22  1      0    639     49   2614    0    0     0  3206 16975 26468 65 14 21  0  0 2026-07-04 01:59:56
22  1      0    626     49   2624    0    0    52  3706 15688 24537 63 14 22  1  0 2026-07-04 01:59:58
33  0      0    598     49   2634    0    0   466  3158 17079 26516 67 15 17  1  0 2026-07-04 02:00:00
35  1      0    601     49   2647    0    0  1190  3776 16450 23107 65 14 17  4  0 2026-07-04 02:00:02
 6  0      0    572     49   2659    0    0     0  4218 17208 24663 63 15 20  2  0 2026-07-04 02:00:04
30  2      0    566     49   2667    0    0    84 25796 18337 27503 64 14 15  7  0 2026-07-04 02:00:06
50  0      0    541     49   2679    0    0     0  5546 16899 23950 62 15 21  2  0 2026-07-04 02:00:08
11  1      0    502     49   2688    0    0     0  4688 17962 26352 65 15 20  1  0 2026-07-04 02:00:10
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
25  0      0    504     49   2700    0    0    18  4956 17579 26615 64 15 20  1  0 2026-07-04 02:00:12
18  0      0    488     49   2711    0    0   146  3960 17957 26584 62 14 22  2  0 2026-07-04 02:00:14
 7  0      0    475     49   2720    0    0     0  4208 18205 30919 61 15 23  1  0 2026-07-04 02:00:16
18  0      0    441     49   2727    0    0    38  4608 19416 32342 61 15 22  3  0 2026-07-04 02:00:18
12  1      0    420     49   2735    0    0     0  4758 18995 33281 61 15 23  1  0 2026-07-04 02:00:20
 6  1      0    428     49   2744    0    0     0  4730 18586 33753 60 15 24  2  0 2026-07-04 02:00:22
11  0      0    392     49   2758    0    0     0  4728 19652 36430 58 16 25  1  0 2026-07-04 02:00:24
 9  1      0    373     49   2771    0    0    64  4810 19484 34722 61 15 22  2  0 2026-07-04 02:00:26
 9  1      0    349     49   2782    0    0     0  4866 20193 37130 58 17 25  1  0 2026-07-04 02:00:28
 8  1      0    308     49   2797    0    0     2  6824 21046 39493 58 18 22  2  0 2026-07-04 02:00:30
16  0      0    332     49   2812    0    0     0  5488 21171 43236 56 18 24  2  0 2026-07-04 02:00:32
22  1      0    300     49   2832    0    0    26  7082 22320 45848 54 19 23  4  0 2026-07-04 02:00:34
 9  1      0    262     49   2851    0    0     0  6876 22601 46950 54 20 26  1  0 2026-07-04 02:00:36
10  4      0    252     49   2861    0    0   644 17380 22841 50547 52 19 13 15  0 2026-07-04 02:00:38
 8  3      0    236     49   2867    0    0   346 33246 25229 54610 52 19 14 16  0 2026-07-04 02:00:40
 9  1      0    204     50   2877    0    0   936  6288 22426 44865 58 18 13 11  0 2026-07-04 02:00:42
 9  2      0    190     50   2895    0    0   146  6362 22638 49868 55 19 18  9  0 2026-07-04 02:00:44
 7  3      0    192     50   2904    0    0   464  6536 23572 50623 56 20 16  9  0 2026-07-04 02:00:46
10  2      0    202     50   2911    0    0     8  7202 23238 51972 53 20 24  3  0 2026-07-04 02:00:48
12  0      0    185     49   2907    0    0    16  6580 24647 56515 52 21 18  8  0 2026-07-04 02:00:50
 5  3      0    206     49   2913    0    0    30  8040 23355 52090 53 21 24  2  0 2026-07-04 02:00:52
