procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
10  0      0   3506     51    825    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 02:19:53
 0  0      0   3486     51    825    0    0     0   114 3137 6502  7  1 91  0  0 2026-07-04 02:19:55
 2  0      0   3387     51    825    0    0    12   164 3816 8736 14  2 84  0  0 2026-07-04 02:19:57
 0  0      0   3369     51    825    0    0     0    24 2950 5952  3  2 95  0  0 2026-07-04 02:19:59
 1  0      0   3366     51    825    0    0     0    68 2818 5576  2  1 96  0  0 2026-07-04 02:20:01
 0  0      0   3357     51    825    0    0     0    32 2845 6111  3  1 96  0  0 2026-07-04 02:20:03
 0  1      0   3362     51    825    0    0     0    38 3421 7249  3  1 95  0  0 2026-07-04 02:20:05
 8  0      0   3169     51    826    0    0     0   180 10289 21049 56  5 38  1  0 2026-07-04 02:20:07
10  0      0   3095     51    831    0    0     0  1230 14972 20933 67  8 24  0  0 2026-07-04 02:20:09
21  0      0   3000     51    839    0    0   100  2200 13634 21981 68 10 22  0  0 2026-07-04 02:20:11
13  0      0   2795     51    846    0    0     0  2700 13858 22741 66 12 22  0  0 2026-07-04 02:20:13
35  1      0   2689     51    869    0    0     0 11126 14757 24611 65 13 22  0  0 2026-07-04 02:20:15
26  0      0   2674     51    877    0    0     0  3452 14511 24082 67 12 20  1  0 2026-07-04 02:20:17
45  0      0   2499     51    883    0    0     0  2992 14835 24077 66 13 21  0  0 2026-07-04 02:20:19
12  0      0   2481     51    904    0    0     0 10746 15412 25369 66 12 19  2  0 2026-07-04 02:20:21
43  0      0   2454     51    911    0    0     0  4774 15398 24998 66 13 21  0  0 2026-07-04 02:20:23
84  1      0   2389     51    918    0    0     0  3280 15478 24681 64 13 22  0  0 2026-07-04 02:20:25
 9  0      0   2380     51    940    0    0     0 11546 16145 24801 65 14 20  1  0 2026-07-04 02:20:27
46  0      0   2367     51    947    0    0     0  3400 16487 26028 65 13 21  0  0 2026-07-04 02:20:29
18  0      0   2334     51    970    0    0     0  3264 16378 25074 66 14 21  0  0 2026-07-04 02:20:31
24  1      0   2317     51    977    0    0     0 11670 16837 26072 67 14 17  1  0 2026-07-04 02:20:33
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
49  1      0   2293     51    985    0    0    16  4016 16296 23153 65 14 21  0  0 2026-07-04 02:20:35
51  1      0   2264     51   1006    0    0     0 11050 17131 24348 64 14 21  1  0 2026-07-04 02:20:37
17  0      0   2251     51   1012    0    0     2 27212 18466 27153 64 16 14  7  0 2026-07-04 02:20:39
40  1      0   2228     51   1037    0    0     0 12178 18371 26387 63 16 21  0  0 2026-07-04 02:20:41
18  0      0   2211     51   1047    0    0     2  5146 17916 25583 63 16 20  1  0 2026-07-04 02:20:43
55  1      0   2172     51   1072    0    0     0 12958 18725 27414 63 16 20  0  0 2026-07-04 02:20:45
15  0      0   2145     51   1086    0    0     0  5294 17820 24162 63 15 22  0  0 2026-07-04 02:20:47
25  0      0   2114     51   1110    0    0     0 12342 19467 27490 63 15 21  1  0 2026-07-04 02:20:49
13  0      0   2111     51   1123    0    0     0  5960 17778 26846 62 16 21  0  0 2026-07-04 02:20:51
10  0      0   2078     51   1146    0    0     0 12510 17706 29265 63 13 22  1  0 2026-07-04 02:20:53
 9  1      0   2038     51   1171    0    0     0 12354 18499 32095 60 14 24  1  0 2026-07-04 02:20:55
 8  1      0   2020     51   1181    0    0     0  5588 18406 30867 63 13 23  1  0 2026-07-04 02:20:57
13  1      0   1992     51   1206    0    0     0 12126 19947 36774 61 14 24  1  0 2026-07-04 02:20:59
 8  0      0   1958     51   1218    0    0     0  5832 19101 32214 62 16 21  1  0 2026-07-04 02:21:01
13  0      0   1910     51   1241    0    0     0 11888 19110 35335 61 13 25  1  0 2026-07-04 02:21:03
11  1      0   1910     51   1250    0    0     0  4696 19967 39775 61 15 23  1  0 2026-07-04 02:21:05
 8  0      0   1859     51   1274    0    0     0 12098 20650 39224 59 16 24  1  0 2026-07-04 02:21:07
13  1      0   1832     51   1305    0    0     0 14552 20629 40964 56 19 25  1  0 2026-07-04 02:21:09
 8  1      0   1808     51   1309    0    0     2 38128 22694 44846 56 16 18 10  0 2026-07-04 02:21:11
 6  1      0   1766     51   1340    0    0     0 17660 22322 46948 55 18 24  2  0 2026-07-04 02:21:13
40  0      0   1736     51   1356    0    0     0  7246 22356 45866 55 19 24  1  0 2026-07-04 02:21:15
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
17  0      0   1703     51   1382    0    0     0 13090 22482 46623 57 17 24  1  0 2026-07-04 02:21:17
 9  1      0   1650     51   1409    0    0     0 14196 22723 50839 55 19 25  2  0 2026-07-04 02:21:19
11  2      0   1602     51   1440    0    0     0 15402 22304 48999 53 20 25  1  0 2026-07-04 02:21:21
 9  0      0   1595     51   1453    0    0     0  6590 24040 56578 51 20 25  3  0 2026-07-04 02:21:23
 8  1      0   1577     51   1482    0    0     0 14588 24882 59409 50 21 27  2  0 2026-07-04 02:21:25
18  0      0   1548     51   1509    0    0     2 13556 23979 54630 53 20 26  1  0 2026-07-04 02:21:27
10  1      0   1515     51   1542    0    0     0 15188 24268 56241 50 22 27  1  0 2026-07-04 02:21:29
13  0      0   1494     51   1557    0    0     0  8100 24229 56454 52 22 26  1  0 2026-07-04 02:21:31
 8  6      0   1442     51   1581    0    0   144 14904 22821 55317 46 20 22 12  0 2026-07-04 02:21:33
 4  9      0   1442     51   1588    0    0   704 21284 26063 65541 49 20 16 15  0 2026-07-04 02:21:35
 1  2      0   1450     51   1607    0    0   454 26810 8650 18254 13  6 37 44  0 2026-07-04 02:21:37
 8  1      0   1428     51   1622    0    0   416  7250 23560 53300 51 19 27  3  0 2026-07-04 02:21:39
10  0      0   1383     51   1652    0    0    60 15278 24402 54471 51 22 26  1  0 2026-07-04 02:21:41
 8  0      0   1378     51   1681    0    0     2 14814 24393 58349 48 24 26  2  0 2026-07-04 02:21:43
 9  0      0   1341     51   1714    0    0     0 15156 24405 57480 50 21 28  1  0 2026-07-04 02:21:45
11  0      0   1309     51   1745    0    0     0 14830 24207 54865 51 22 26  1  0 2026-07-04 02:21:47
10  1      0   1260     51   1776    0    0     0 16276 23782 53711 51 22 26  1  0 2026-07-04 02:21:49
14  0      0   1261     51   1788    0    0     0  6138 24280 58925 52 21 26  1  0 2026-07-04 02:21:51
11  0      0   1226     51   1823    0    0     0 14696 24964 60158 50 21 27  2  0 2026-07-04 02:21:53
11  1      0   1187     51   1858    0    0    48 15242 24564 58553 49 22 26  3  0 2026-07-04 02:21:55
 5  0      0   1163     51   1885    0    0   102 13930 24079 57441 49 22 28  2  0 2026-07-04 02:21:57
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 5  1      0   1143     51   1902    0    0     0  7938 24057 55282 51 21 26  1  0 2026-07-04 02:21:59
14  2      0   1120     51   1925    0    0    22 16424 26254 68810 49 20 24  6  0 2026-07-04 02:22:01
 7  1      0   1099     51   1946    0    0     0 25092 26014 66181 46 23 27  4  0 2026-07-04 02:22:03
 8  0      0   1073     51   1970    0    0     0 20286 25918 62894 49 21 28  2  0 2026-07-04 02:22:05
11  0      0   1039     51   1997    0    0     0 17038 25294 61887 50 21 24  5  0 2026-07-04 02:22:07
 5  3      0   1001     51   2026    0    0     6 33388 25227 61801 49 21 23  7  0 2026-07-04 02:22:09
