procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 6  0      0   1628     46   2524    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 02:08:06
 0  0      0   1619     46   2524    0    0   214     8 2733 5657  3  2 95  1  0 2026-07-04 02:08:08
 0  0      0   1618     46   2524    0    0    46     0 2652 5123  2  1 96  0  0 2026-07-04 02:08:10
26  1      0   1623     46   2524    0    0     6    70 4276 10188 12  2 86  0  0 2026-07-04 02:08:12
17  0      0   1581     46   2527    0    0    84  1588 15070 41551 65 12 21  2  0 2026-07-04 02:08:14
15  0      0   1532     46   2533    0    0     0  2452 18909 52418 63 19 17  0  0 2026-07-04 02:08:16
12  0      0   1260     46   2541    0    0     2  3164 20868 56289 59 23 17  1  0 2026-07-04 02:08:18
 7  1      0   1180     46   2548    0    0     0  2856 21653 53702 60 22 18  1  0 2026-07-04 02:08:20
12  1      0   1160     46   2555    0    0     0  2780 22796 52275 59 22 18  1  0 2026-07-04 02:08:22
12  1      0   1099     46   2560    0    0     6  2404 23780 51682 59 22 18  1  0 2026-07-04 02:08:24
11  1      0    936     46   2564    0    0     0  2216 24283 49262 58 24 17  1  0 2026-07-04 02:08:26
11  1      0    912     46   2571    0    0     2  2838 25010 51827 55 25 19  2  0 2026-07-04 02:08:28
10  1      0    897     46   2577    0    0     0  1986 25306 51312 52 25 21  2  0 2026-07-04 02:08:30
12  1      0    881     46   2585    0    0     0  2944 27359 58593 53 28 18  1  0 2026-07-04 02:08:32
12  0      0    852     46   2589    0    0     0  1536 26093 45691 50 24 23  3  0 2026-07-04 02:08:34
 8  1      0    855     46   2595    0    0     0  2284 26756 49772 52 26 20  2  0 2026-07-04 02:08:36
 5  1      0    831     46   2598    0    0     0  1598 25053 42100 49 24 23  4  0 2026-07-04 02:08:38
12  1      0    808     46   2599    0    0     0  1148 24690 38041 48 23 23  5  0 2026-07-04 02:08:40
11  1      0    783     46   2607    0    0     0  3226 27384 56911 51 28 20  2  0 2026-07-04 02:08:42
16  1      0    777     46   2612    0    0     0  2166 27201 55450 51 27 20  2  0 2026-07-04 02:08:44
14  0      0    760     46   2620    0    0    58  3008 28121 61383 50 28 20  2  0 2026-07-04 02:08:46
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 5  2      0    754     46   2627    0    0    26 22034 27344 63518 48 27 18  7  0 2026-07-04 02:08:48
16  1      0    723     46   2634    0    0     0  2944 26784 54377 47 25 24  3  0 2026-07-04 02:08:50
 7  1      0    738     46   2638    0    0     0  2158 28068 66539 42 27 27  4  0 2026-07-04 02:08:52
12  1      0    706     46   2647    0    0     0  3656 29585 79531 42 30 25  3  0 2026-07-04 02:08:54
 8  1      0    706     46   2652    0    0     0  4188 30303 83478 42 32 24  2  0 2026-07-04 02:08:56
 5  1      0    693     46   2655    0    0     0  3750 30399 86355 39 32 27  3  0 2026-07-04 02:08:58
 7  1      0    678     46   2659    0    0     0  2172 30917 87088 35 27 33  5  0 2026-07-04 02:09:00
 5  1      0    670     46   2669    0    0   438  3658 30791 90136 40 31 24  5  0 2026-07-04 02:09:02
25  0      0    628     46   2677    0    0     0  3256 30766 90407 38 31 28  3  0 2026-07-04 02:09:04
19  1      0    635     46   2685    0    0     0  3408 30247 85955 39 32 26  3  0 2026-07-04 02:09:06
15  0      0    629     46   2694    0    0     0  3832 30682 91681 37 31 28  4  0 2026-07-04 02:09:08
 2  3      0    598     46   2708    0    0  1990 13850 30768 90669 38 31 20 11  0 2026-07-04 02:09:10
 3  3      0    576     46   2724    0    0  1094 10132 31031 99873 35 32 21 13  0 2026-07-04 02:09:12
 4  3      0    574     46   2736    0    0  1178  3664 31834 104276 33 31 19 17  0 2026-07-04 02:09:14
 3  2      0    541     46   2749    0    0  1322  3940 31657 94023 36 30 19 15  0 2026-07-04 02:09:16
12  1      0    520     47   2762    0    0    18  4932 31779 95509 38 31 22  9  0 2026-07-04 02:09:18
13  1      0    492     47   2768    0    0    10 13794 31623 99006 38 34 23  5  0 2026-07-04 02:09:20
26  1      0    449     47   2772    0    0     0  4492 30707 88525 39 31 27  3  0 2026-07-04 02:09:22
 6  2      0    473     47   2775    0    0     0  4608 30990 94223 30 28 35  6  0 2026-07-04 02:09:24
 8  1      0    463     47   2780    0    0     4  8520 31485 93323 39 32 25  3  0 2026-07-04 02:09:26
 6  1      0    452     47   2784    0    0     0  4912 30594 88796 41 33 24  3  0 2026-07-04 02:09:28
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
13  1      0    441     47   2788    0    0     0  4272 29636 79829 44 31 23  3  0 2026-07-04 02:09:30
 3  1      0    408     47   2791    0    0     0  4944 30328 85122 41 33 24  2  0 2026-07-04 02:09:32
15  1      0    436     47   2794    0    0     0  3038 30902 91685 30 28 37  5  0 2026-07-04 02:09:34
 3  1      0    427     47   2796    0    0    30  3256 31395 88036 34 31 30  4  0 2026-07-04 02:09:36
32  1      0    408     47   2799    0    0     2  3940 30194 83794 41 31 25  3  0 2026-07-04 02:09:38
 5  1      0    411     47   2803    0    0     0  5090 31380 99895 37 33 26  3  0 2026-07-04 02:09:40
14  0      0    384     47   2809    0    0     0  5068 31198 90407 39 33 25  3  0 2026-07-04 02:09:42
29  0      0    382     47   2820    0    0    62  5036 31245 96290 38 34 25  3  0 2026-07-04 02:09:44
 5  0      0    369     47   2830    0    0     0  4516 31189 91966 41 31 24  4  0 2026-07-04 02:09:46
18  0      0    354     47   2835    0    0     0  5000 30313 84332 42 32 23  2  0 2026-07-04 02:09:48
 7  1      0    349     47   2838    0    0     0  5082 31472 98854 37 32 27  3  0 2026-07-04 02:09:50
20  0      0    320     47   2842    0    0    42 33712 31879 97330 39 32 24  5  0 2026-07-04 02:09:52
13  1      0    333     47   2846    0    0     0  4520 31448 93993 34 31 31  4  0 2026-07-04 02:09:54
20  1      0    325     47   2850    0    0     0  3866 31786 97110 34 32 30  4  0 2026-07-04 02:09:56
15  1      0    291     47   2863    0    0     2  5884 30631 88457 41 33 23  2  0 2026-07-04 02:09:58
 3  1      0    299     47   2871    0    0     0  3780 31539 94794 34 29 33  5  0 2026-07-04 02:10:00
15  1      0    265     47   2876    0    0     0  4512 30658 87836 34 28 33  5  0 2026-07-04 02:10:02
 6  1      0    287     47   2879    0    0     0  4570 31515 97427 37 34 26  3  0 2026-07-04 02:10:04
24  0      0    281     47   2883    0    0     0  4794 31604 97941 37 32 28  3  0 2026-07-04 02:10:06
12  1      0    279     47   2886    0    0    58  2948 32413 95693 30 28 36  5  0 2026-07-04 02:10:08
13  1      0    274     47   2889    0    0   124  4836 31492 95816 37 31 29  4  0 2026-07-04 02:10:10
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
13  0      0    259     47   2897    0    0     0  4806 31438 94417 36 32 28  3  0 2026-07-04 02:10:12
 4  1      0    257     47   2907    0    0    42  4358 31870 97770 34 32 29  4  0 2026-07-04 02:10:14
14  1      0    232     47   2916    0    0     0  4740 31687 95511 35 31 30  4  0 2026-07-04 02:10:16
 3  1      0    242     47   2920    0    0     0  4394 31027 91245 35 30 32  4  0 2026-07-04 02:10:18
 5  1      0    239     47   2922    0    0     0  3692 30943 92726 29 29 37  5  0 2026-07-04 02:10:20
 4  0      0    233     47   2927    0    0   286  4346 31002 92797 38 31 26  5  0 2026-07-04 02:10:22
12  0      0    229     47   2931    0    0     4 13808 31140 89554 39 30 27  4  0 2026-07-04 02:10:24
16  1      0    230     47   2935    0    0     0  5712 31005 94405 39 33 25  3  0 2026-07-04 02:10:26
 3  1      0    225     47   2938    0    0   134  3608 32394 96801 32 30 34  5  0 2026-07-04 02:10:28
 2  1      0    219     47   2941    0    0     2  4158 31413 93713 36 31 29  4  0 2026-07-04 02:10:30
14  0      0    216     47   2945    0    0     0  3636 32023 96815 35 29 31  5  0 2026-07-04 02:10:32
12  2      0    205     47   2956    0    0     0 28480 31607 99452 36 32 25  7  0 2026-07-04 02:10:34
 7  1      0    196     47   2966    0    0     0  8370 32180 98114 32 31 32  5  0 2026-07-04 02:10:36
15  1      0    202     47   2970    0    0     2  3416 32475 100131 30 31 34  5  0 2026-07-04 02:10:38
 9  1      0    200     47   2974    0    0     4  5048 31425 95025 38 31 28  3  0 2026-07-04 02:10:40
 6  1      0    201     47   2979    0    0    86  5208 31773 100666 39 32 26  3  0 2026-07-04 02:10:42
12  1      0    195     47   2980    0    0     4  4536 31767 94727 37 32 27  4  0 2026-07-04 02:10:44
 8  0      0    204     47   2971    0    0     0  5308 30585 83987 42 32 24  2  0 2026-07-04 02:10:46
 6  1      0    198     47   2976    0    0     0  2806 32685 98138 30 28 36  5  0 2026-07-04 02:10:48
 8  1      0    207     47   2969    0    0     0  4980 31380 91405 40 32 26  2  0 2026-07-04 02:10:50
12  1      0    210     47   2975    0    0    42  4796 31681 100776 37 33 26  3  0 2026-07-04 02:10:52
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 5  1      0    197     47   2978    0    0     0  5024 31636 101172 36 34 27  3  0 2026-07-04 02:10:54
 7  1      0    193     47   2980    0    0     0  3764 31381 89312 36 31 29  4  0 2026-07-04 02:10:56
13  1      0    199     47   2982    0    0     0  4620 31858 99569 36 32 28  4  0 2026-07-04 02:10:58
 7  2      0    183     47   2984    0    0    62  4092 31326 96625 32 31 32  4  0 2026-07-04 02:11:00
12  1      0    187     47   2988    0    0     0  3862 31651 94190 32 31 32  5  0 2026-07-04 02:11:02
 5  1      0    185     47   2989    0    0     0  5476 31328 94621 39 32 26  3  0 2026-07-04 02:11:04
 8  2      0    207     47   2967    0    0     6 21944 31498 91567 35 29 29  7  0 2026-07-04 02:11:06
 6  1      0    216     47   2970    0    0     6 15510 31788 99482 38 32 25  6  0 2026-07-04 02:11:08
 2  1      0    200     47   2973    0    0    94  3926 31927 100478 32 31 32  5  0 2026-07-04 02:11:10
 5  0      0    185     47   2972    0    0     6  4118 31596 97223 34 32 30  4  0 2026-07-04 02:11:12
 4  1      0    189     47   2980    0    0     0  4274 31994 97578 34 31 31  4  0 2026-07-04 02:11:14
12  1      0    203     47   2974    0    0    20  2832 32534 93486 30 30 35  5  0 2026-07-04 02:11:16
 5  1      0    194     47   2982    0    0   158  3768 31899 94436 33 32 31  4  0 2026-07-04 02:11:18
20  1      0    186     46   2987    0    0     0  4360 31487 96885 33 31 32  4  0 2026-07-04 02:11:20
10  1      0    195     46   2989    0    0     0  4282 31320 92501 35 31 30  4  0 2026-07-04 02:11:22
16  1      0    193     46   2988    0    0     0  3652 32176 98397 31 31 33  5  0 2026-07-04 02:11:24
 6  0      0    205     46   2976    0    0     2  4622 31338 94782 38 33 26  3  0 2026-07-04 02:11:26
 8  0      0    198     46   2980    0    0     0  4450 31363 92285 36 34 27  3  0 2026-07-04 02:11:28
