procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  0      0   3382     51    810    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 02:31:12
 9  1      0   3346     51    811    0    0    58   262 5944 15255 24  4 71  1  0 2026-07-04 02:31:14
19  0      0   3323     51    813    0    0     0  1460 16588 44572 67 12 20  1  0 2026-07-04 02:31:16
13  1      0   3276     51    818    0    0     0  2594 18655 49004 65 16 18  1  0 2026-07-04 02:31:18
18  0      0   3063     51    823    0    0     0  2594 20405 51886 62 20 18  1  0 2026-07-04 02:31:20
29  0      0   2771     51    828    0    0     0  2764 21600 53332 61 21 18  1  0 2026-07-04 02:31:22
14  1      0   2684     51    850    0    0    20 11386 23834 54173 61 21 17  1  0 2026-07-04 02:31:24
27  0      0   2662     51    856    0    0     0  2746 23768 50883 58 23 18  1  0 2026-07-04 02:31:26
21  0      0   2643     51    862    0    0     0  2922 25215 53529 56 25 18  1  0 2026-07-04 02:31:28
13  1      0   2622     51    868    0    0     0  2994 25142 52999 55 25 19  1  0 2026-07-04 02:31:30
33  0      0   2595     51    889    0    0     0 10682 26149 52930 53 25 20  2  0 2026-07-04 02:31:32
10  1      0   2577     51    895    0    0     2  3206 27868 57786 53 27 19  1  0 2026-07-04 02:31:34
30  0      0   2562     51    902    0    0     0  3232 27466 57884 52 29 18  1  0 2026-07-04 02:31:36
 5  1      0   2530     51    923    0    0     2 10644 25951 50470 50 24 23  3  0 2026-07-04 02:31:38
24  0      0   2512     51    923    0    0     0  1022 24390 26752 46 21 32  2  0 2026-07-04 02:31:40
14  0      0   2489     51    927    0    0     0  2120 26593 45815 49 25 23  3  0 2026-07-04 02:31:42
19  1      0   2495     51    931    0    0     0  2468 26724 50419 52 26 20  2  0 2026-07-04 02:31:44
18  1      0   2490     51    936    0    0     0  2814 27499 56678 50 29 19  1  0 2026-07-04 02:31:46
 9  1      0   2469     51    956    0    0     0 10404 26687 51630 48 27 22  3  0 2026-07-04 02:31:48
 4  0      0   2444     51    958    0    0     4 20060 26321 48905 43 23 25  9  0 2026-07-04 02:31:50
 4  1      0   2432     51    959    0    0     0   896 26994 51005 41 21 33  4  0 2026-07-04 02:31:52
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
14  1      0   2464     51    961    0    0     0  1614 29660 68166 39 25 31  5  0 2026-07-04 02:31:54
15  1      0   2454     51    966    0    0     0  3570 30457 87827 40 29 28  3  0 2026-07-04 02:31:56
 3  1      0   2436     51    988    0    0     0 11272 30264 84998 37 28 31  4  0 2026-07-04 02:31:58
12  1      0   2435     51    994    0    0     0  3228 30548 89156 35 28 32  4  0 2026-07-04 02:32:00
11  1      0   2409     51    998    0    0     0  2588 30799 89086 37 31 29  4  0 2026-07-04 02:32:02
13  1      0   2406     51   1005    0    0     0  4112 30860 89565 36 32 28  4  0 2026-07-04 02:32:04
 5  1      0   2375     51   1027    0    0     0 11302 31031 88998 34 29 33  4  0 2026-07-04 02:32:06
16  0      0   2364     51   1034    0    0     0  3858 30908 92268 39 30 27  3  0 2026-07-04 02:32:08
13  0      0   2331     51   1055    0    0     0 10984 30767 92680 39 29 27  5  0 2026-07-04 02:32:10
 5  1      0   2315     51   1064    0    0     0  4524 30596 85970 38 28 30  3  0 2026-07-04 02:32:12
12  1      0   2310     51   1070    0    0     0  3548 30884 92639 37 29 30  4  0 2026-07-04 02:32:14
14  1      0   2285     51   1093    0    0     0 11748 31617 99157 35 34 28  3  0 2026-07-04 02:32:16
 6  1      0   2249     51   1101    0    0     0  4736 30833 93620 38 35 25  2  0 2026-07-04 02:32:18
11  1      0   2210     51   1127    0    0     0 12924 30776 88681 42 33 24  2  0 2026-07-04 02:32:20
19  1      0   2206     51   1133    0    0    16 26896 31813 96365 35 29 27  9  0 2026-07-04 02:32:22
