procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  0      0   2753    127   1271    0    0     0     6    0    0  0  0 99  0  0 2026-07-03 18:00:12
 0  0      0   2740    127   1271    0    0     0     0 4040 9067  4  3 94  0  0 2026-07-03 18:00:14
 0  0      0   2738    127   1271    0    0     0    46 2819 5281  3  1 96  0  0 2026-07-03 18:00:16
 0  0      0   2739    127   1271    0    0     0    50 2893 6024  2  2 96  0  0 2026-07-03 18:00:18
 0  0      0   2739    127   1271    0    0     0     8 3807 8554  3  2 95  0  0 2026-07-03 18:00:20
 0  0      0   2751    127   1271    0    0     0    52 2402 4815  2  1 97  1  0 2026-07-03 18:00:22
 0  0      0   2740    127   1271    0    0     0     8 3831 8428  3  2 94  0  0 2026-07-03 18:00:24
 0  0      0   2745    127   1271    0    0     0     0 2903 6064  2  1 97  0  0 2026-07-03 18:00:26
 6  1      0   2709    127   1273    0    0     0   974 12878 39347 61 10 27  2  0 2026-07-03 18:00:28
 6  1      0   2693    127   1274    0    0     0  1226 16040 52278 61 13 23  3  0 2026-07-03 18:00:30
 7  1      0   2676    127   1276    0    0    44  1422 15415 55821 59 13 24  3  0 2026-07-03 18:00:32
11  0      0   2652    127   1278    0    0     2  1720 15476 58599 59 14 24  3  0 2026-07-03 18:00:34
 6  1      0   2641    127   1280    0    0     0  1424 15284 61977 56 15 26  3  0 2026-07-03 18:00:36
 6  1      0   2473    127   1282    0    0     0  2040 16487 70415 54 17 25  5  0 2026-07-03 18:00:38
 7  1      0   2294    127   1284    0    0     0  1692 16718 68820 56 16 25  3  0 2026-07-03 18:00:40
 9  1      0   2217    127   1286    0    0     0  1848 16365 73348 55 16 25  3  0 2026-07-03 18:00:42
12  1      0   2205    127   1289    0    0     0  2000 18181 80439 54 19 25  3  0 2026-07-03 18:00:44
 9  1      0   2191    127   1308    0    0     0 10282 18501 89597 53 17 26  3  0 2026-07-03 18:00:46
10  1      0   2180    127   1312    0    0     0  2168 19042 91948 54 17 26  3  0 2026-07-03 18:00:48
18  1      0   2179    127   1315    0    0     0  2208 19124 93916 53 17 28  3  0 2026-07-03 18:00:50
 6  1      0   2165    127   1318    0    0     0  2168 19377 94123 53 18 26  4  0 2026-07-03 18:00:52
