procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 3  0      0    270    110   3036    0    0     0     6    0    0  0  0 99  0  0 2026-07-03 18:50:46
 0  0      0    260    110   3036    0    0     0     0 3405 8471  4  2 94  0  0 2026-07-03 18:50:48
 3  1      0    256    110   3036    0    0     0   372 6729 23547  8  6 84  2  0 2026-07-03 18:50:50
 1  1      0    252    110   3038    0    0     0  1392 20383 101511 31 18 45  6  0 2026-07-03 18:50:52
 4  1      0    224    110   3045    0    0     0  2044 23783 114583 40 19 36  5  0 2026-07-03 18:50:54
 6  1      0    224    110   3042    0    0    34  2684 27235 144140 34 20 39  6  0 2026-07-03 18:50:56
 5  1      0    205    110   3048    0    0   106  2830 29800 156914 32 23 39  7  0 2026-07-03 18:50:58
 6  0      0    200    110   3055    0    0     0  3082 32820 164265 32 24 39  5  0 2026-07-03 18:51:00
10  1      0    202    109   3055    0    0     0  3072 33165 160350 33 25 38  5  0 2026-07-03 18:51:02
 4  1      0    193    109   3051    0    0   246  3854 32858 156538 34 24 35  6  0 2026-07-03 18:51:04
11  0      0    202    109   3047    0    0     0  3054 33701 155699 33 25 37  5  0 2026-07-03 18:51:06
 7  1      0    186    109   3056    0    0     4  2904 33857 151284 33 26 37  5  0 2026-07-03 18:51:08
 6  1      0    193    108   3039    0    0   134  2830 33962 146169 33 28 33  6  0 2026-07-03 18:51:10
 5  1      0    184    108   3043    0    0     0  2992 35880 153226 32 28 35  4  0 2026-07-03 18:51:12
 5  1      0    187    108   3033    0    0    18  3084 34367 151657 33 26 37  5  0 2026-07-03 18:51:14
 5  1      0    207    108   3025    0    0     0  3054 33091 146742 36 25 35  4  0 2026-07-03 18:51:16
 3  1      0    196    108   3030    0    0     0  3172 33499 155620 32 26 37  5  0 2026-07-03 18:51:18
 7  1      0    207    107   3020    0    0     0  2970 33169 146730 34 27 35  4  0 2026-07-03 18:51:20
 7  1      0    201    107   3025    0    0     2 21184 33915 162449 31 26 36  7  0 2026-07-03 18:51:22
