procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 8  0      0   1516     82   2674    0    0     0     6    0    0  0  0 99  0  0 2026-07-03 19:19:31
 0  0      0   1494     82   2674    0    0     0     0 3184 7179  4  1 95  0  0 2026-07-03 19:19:33
 5  1      0   1476     82   2674    0    0    18   134 4080 9122 10  2 88  1  0 2026-07-03 19:19:35
 8  1      0   1394     82   2675    0    0     0  1010 13775 40859 66 10 22  2  0 2026-07-03 19:19:37
11  1      0   1371     82   2676    0    0     0  1136 15347 46907 65 11 22  2  0 2026-07-03 19:19:39
10  1      0   1352     82   2678    0    0     0  1158 16643 51008 61 13 22  3  0 2026-07-03 19:19:41
 5  1      0   1346     82   2681    0    0    86  1256 18538 54555 60 14 24  3  0 2026-07-03 19:19:43
10  0      0   1301     82   2684    0    0     0  1312 19846 57551 59 16 23  3  0 2026-07-03 19:19:45
14  1      0   1227     82   2687    0    0     0  1330 20729 58104 57 17 23  3  0 2026-07-03 19:19:47
13  1      0   1070     82   2690    0    0     0  1432 21379 62406 56 18 23  2  0 2026-07-03 19:19:49
 8  1      0    949     82   2693    0    0     0  1490 22063 63045 56 19 23  3  0 2026-07-03 19:19:51
11  0      0    815     82   2696    0    0     0  1364 23295 61173 56 20 23  2  0 2026-07-03 19:19:53
 7  1      0    799     82   2701    0    0     0  1684 24409 69310 55 21 22  2  0 2026-07-03 19:19:55
 5  1      0    789     82   2705    0    0     0  1700 24762 70005 54 20 23  2  0 2026-07-03 19:19:57
 7  1      0    766     82   2709    0    0     0  1738 23831 69493 54 21 23  3  0 2026-07-03 19:19:59
12  0      0    760     82   2712    0    0     0  1764 23280 69870 54 18 25  3  0 2026-07-03 19:20:01
 6  1      0    751     82   2715    0    0     0  3296 24406 76681 54 18 24  3  0 2026-07-03 19:20:03
14  1      0    742     82   2720    0    0     0  2176 24892 84518 51 20 27  3  0 2026-07-03 19:20:05
 4  2      0    729     82   2724    0    0     2  3414 25774 92463 50 20 27  4  0 2026-07-03 19:20:07
 5  1      0    709     82   2729    0    0     0  7034 28128 107705 45 22 28  4  0 2026-07-03 19:20:09
 7  1      0    694     82   2735    0    0    52  2610 29570 123897 39 23 34  4  0 2026-07-03 19:20:11
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 6  1      0    704     82   2742    0    0    38  2742 30479 128743 40 22 34  4  0 2026-07-03 19:20:13
 4  1      0    669     82   2747    0    0     0  2258 27351 103434 48 21 28  3  0 2026-07-03 19:20:15
 8  1      0    672     82   2753    0    0     0  2766 31062 139164 36 23 36  4  0 2026-07-03 19:20:17
 7  1      0    664     82   2760    0    0     0  2946 32379 144466 34 24 37  5  0 2026-07-03 19:20:19
 7  1      0    652     82   2767    0    0     0  2828 31360 135481 39 23 34  4  0 2026-07-03 19:20:21
 4  1      0    643     82   2773    0    0     0  2678 30493 129135 40 23 33  4  0 2026-07-03 19:20:23
10  1      0    620     82   2778    0    0     0  2600 29206 119399 41 24 32  4  0 2026-07-03 19:20:25
 6  1      0    609     82   2785    0    0     0  2780 30767 135528 38 23 35  4  0 2026-07-03 19:20:27
 3  1      0    616     82   2792    0    0     2  3000 32891 148926 34 24 37  5  0 2026-07-03 19:20:29
 5  1      0    590     82   2799    0    0     0  3124 33364 152090 33 25 38  5  0 2026-07-03 19:20:31
 5  2      0    579     82   2806    0    0     0  2944 32063 144164 36 23 36  5  0 2026-07-03 19:20:33
 4  1      0    569     82   2814    0    0    10  3104 32420 143126 35 25 35  4  0 2026-07-03 19:20:35
 6  1      0    559     82   2821    0    0     0  3178 33817 155192 32 24 38  5  0 2026-07-03 19:20:37
 8  1      0    547     82   2828    0    0     0 22546 33156 160128 32 24 35  9  0 2026-07-03 19:20:39
 6  1      0    531     82   2836    0    0     0  3488 33628 156251 32 25 38  5  0 2026-07-03 19:20:41
 5  1      0    517     82   2844    0    0     0  3126 32954 156158 34 23 38  4  0 2026-07-03 19:20:43
 7  1      0    504     82   2851    0    0     0  2948 33110 146580 34 24 37  5  0 2026-07-03 19:20:45
 9  1      0    471     82   2858    0    0     0  3180 33477 155908 33 24 38  4  0 2026-07-03 19:20:47
 6  1      0    472     83   2866    0    0     0  3330 33790 162608 31 25 39  5  0 2026-07-03 19:20:49
 5  1      0    444     83   2873    0    0     0  3084 32851 148941 34 25 37  5  0 2026-07-03 19:20:51
 4  1      0    437     83   2881    0    0     0  3156 33921 155904 32 25 38  4  0 2026-07-03 19:20:53
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  1      0    426     83   2888    0    0     0  2960 32998 144078 34 25 36  5  0 2026-07-03 19:20:55
 7  1      0    413     83   2895    0    0     0  3128 33286 156511 32 25 38  5  0 2026-07-03 19:20:57
 7  1      0    403     83   2903    0    0     0  3206 33367 154539 32 24 38  5  0 2026-07-03 19:20:59
 4  1      0    393     83   2911    0    0     0  3120 32681 148359 33 25 37  5  0 2026-07-03 19:21:01
 5  1      0    382     83   2919    0    0     0  3244 33650 154639 33 26 37  5  0 2026-07-03 19:21:03
12  0      0    370     83   2926    0    0     0  3124 32964 149475 33 25 37  5  0 2026-07-03 19:21:05
 5  1      0    362     83   2934    0    0     0  3186 33648 151475 32 25 38  5  0 2026-07-03 19:21:07
 7  1      0    338     83   2942    0    0     0  3220 33432 150018 34 25 36  5  0 2026-07-03 19:21:09
 4  1      0    343     83   2945    0    0    22 24436 32972 162311 31 24 34 10  0 2026-07-03 19:21:11
 7  0      0    338     83   2947    0    0     0  3104 33243 153916 32 25 38  5  0 2026-07-03 19:21:13
 8  1      0    334     83   2949    0    0     0  3142 33133 154251 31 26 38  5  0 2026-07-03 19:21:15
 8  1      0    328     83   2952    0    0     0  2988 32703 145833 33 26 37  4  0 2026-07-03 19:21:17
10  1      0    313     83   2958    0    0     0  3000 33217 149250 33 26 36  5  0 2026-07-03 19:21:19
 6  1      0    301     83   2972    0    0     0  7746 32998 156664 32 24 36  7  0 2026-07-03 19:21:21
 7  1      0    294     83   2975    0    0     0  3852 33579 158669 33 24 38  5  0 2026-07-03 19:21:23
 6  1      0    286     83   2978    0    0     0  3706 33144 158396 30 26 39  5  0 2026-07-03 19:21:25
 5  1      0    282     83   2980    0    0     0  3500 33275 148222 32 26 37  4  0 2026-07-03 19:21:27
 5  1      0    276     83   2986    0    0     0  3780 32730 148094 34 25 37  4  0 2026-07-03 19:21:29
 7  1      0    262     83   2994    0    0     0  3532 33328 153794 33 25 37  5  0 2026-07-03 19:21:31
 6  1      0    252     83   3001    0    0     0  3680 33436 159471 31 25 39  5  0 2026-07-03 19:21:33
 6  1      0    241     83   3009    0    0     0  3762 33411 161067 32 24 38  5  0 2026-07-03 19:21:35
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 5  1      0    232     83   3016    0    0     0  3608 32682 146489 33 26 37  5  0 2026-07-03 19:21:37
 4  1      0    222     83   3024    0    0     0  3536 32905 152208 34 25 37  4  0 2026-07-03 19:21:39
 4  1      0    210     83   3031    0    0     0  3854 33150 157789 32 24 39  5  0 2026-07-03 19:21:41
 2  1      0    200     83   3039    0    0     2 24084 32755 155540 32 25 35  8  0 2026-07-03 19:21:43
12  0      0    195     83   3040    0    0     0  3820 33662 154904 31 26 38  5  0 2026-07-03 19:21:45
 7  1      0    193     83   3048    0    0   196  3584 33353 150396 33 26 35  6  0 2026-07-03 19:21:47
 7  1      0    190     83   3052    0    0     2  3604 32789 147044 34 25 37  4  0 2026-07-03 19:21:49
 7  1      0    194     82   3049    0    0    50  3780 33517 156967 33 25 36  6  0 2026-07-03 19:21:51
 5  1      0    196     82   3048    0    0    38  3700 32905 151589 32 25 37  5  0 2026-07-03 19:21:53
 9  1      0    191     82   3048    0    0     0  3718 33468 158295 31 26 38  5  0 2026-07-03 19:21:55
 5  1      0    194     82   3050    0    0     0  3798 33319 157274 32 24 39  5  0 2026-07-03 19:21:57
10  1      0    197     81   3038    0    0    60  3574 32738 150887 32 26 37  5  0 2026-07-03 19:21:59
 5  1      0    195     81   3042    0    0     0  3766 33382 155740 32 25 38  5  0 2026-07-03 19:22:01
 9  1      0    194     81   3039    0    0     0  3560 32780 149198 33 25 37  4  0 2026-07-03 19:22:03
 8  1      0    194     81   3039    0    0     0  3650 33734 153341 32 26 38  5  0 2026-07-03 19:22:05
 8  1      0    194     81   3038    0    0    10  3610 34011 153386 34 25 37  4  0 2026-07-03 19:22:07
 6  1      0    201     80   3027    0    0     0  3388 32379 140925 34 26 36  4  0 2026-07-03 19:22:09
 7  0      0    200     80   3033    0    0   106  3628 32019 152381 32 25 38  5  0 2026-07-03 19:22:11
 6  1      0    204     80   3024    0    0     2  3804 33416 159701 30 26 39  5  0 2026-07-03 19:22:13
 6  1      0    184     80   3032    0    0    12 25396 33001 161769 31 24 35 10  0 2026-07-03 19:22:15
 4  1      0    187     80   3030    0    0     0  3626 33709 151121 32 25 38  5  0 2026-07-03 19:22:17
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 6  1      0    195     80   3030    0    0     6  3602 32689 148530 32 26 37  4  0 2026-07-03 19:22:19
10  1      0    189     80   3035    0    0    40  3590 32602 152349 32 25 38  5  0 2026-07-03 19:22:21
 8  1      0    192     80   3039    0    0     0  3544 32775 152724 32 25 38  5  0 2026-07-03 19:22:23
 6  1      0    196     79   3030    0    0     0  3448 33240 147278 32 27 36  5  0 2026-07-03 19:22:25
 5  1      0    195     79   3033    0    0     0  3636 33478 154122 32 26 38  5  0 2026-07-03 19:22:27
 3  1      0    214     78   3018    0    0     0  3456 33074 147845 33 26 37  4  0 2026-07-03 19:22:29
 6  1      0    209     78   3022    0    0     8  3152 33091 151179 33 25 38  5  0 2026-07-03 19:22:31
 4  1      0    206     78   3027    0    0     0  4128 33219 157380 32 25 37  5  0 2026-07-03 19:22:33
11  0      0    184     78   3031    0    0     0  3540 32913 150193 33 26 37  4  0 2026-07-03 19:22:35
 5  1      0    193     78   3031    0    0     0  3372 33742 154343 32 26 38  5  0 2026-07-03 19:22:37
 7  1      0    191     78   3034    0    0     0  3782 33150 153106 33 25 37  5  0 2026-07-03 19:22:39
 6  1      0    198     77   3029    0    0     4  3644 33127 150577 32 26 37  4  0 2026-07-03 19:22:41
 5  1      0    205     77   3029    0    0    12  3652 33544 156022 32 25 38  5  0 2026-07-03 19:22:43
 2  2      0    212     77   3030    0    0     0 11454 33251 151764 33 26 36  5  0 2026-07-03 19:22:45
 2  1      0    195     77   3032    0    0     0 15190 33088 160085 30 26 37  7  0 2026-07-03 19:22:47
 4  1      0    203     77   3031    0    0     0  3990 32980 145909 34 26 35  4  0 2026-07-03 19:22:49
 4  1      0    197     77   3031    0    0     0  3520 32748 148427 33 26 36  5  0 2026-07-03 19:22:51
 4  1      0    205     77   3032    0    0     0  3744 33351 157886 32 26 38  5  0 2026-07-03 19:22:53
 7  1      0    195     77   3036    0    0     0  3636 33755 155399 32 26 38  5  0 2026-07-03 19:22:55
 6  1      0    192     76   3038    0    0     0  3604 33405 153197 31 27 37  4  0 2026-07-03 19:22:57
 6  1      0    192     76   3039    0    0     0  3736 33235 154632 31 27 37  5  0 2026-07-03 19:22:59
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 5  1      0    193     76   3040    0    0     0  3516 32823 150647 32 28 36  4  0 2026-07-03 19:23:01
 5  1      0    194     76   3038    0    0     0  3692 33174 154816 32 26 37  5  0 2026-07-03 19:23:03
 6  1      0    193     76   3040    0    0    40  3646 33506 154190 31 27 37  5  0 2026-07-03 19:23:05
 6  1      0    205     76   3026    0    0    38  3460 33338 148901 34 26 36  5  0 2026-07-03 19:23:07
 4  1      0    210     75   3025    0    0     2  3714 33124 150450 34 26 35  4  0 2026-07-03 19:23:09
 3  2      0    199     75   3032    0    0    10  3552 33179 156181 32 26 38  5  0 2026-07-03 19:23:11
 9  1      0    200     75   3031    0    0     4  3444 32332 152190 33 26 37  5  0 2026-07-03 19:23:13
 2  1      0    205     75   3034    0    0     2  3826 33353 155901 32 26 38  5  0 2026-07-03 19:23:15
 7  2      0    184     75   3035    0    0     2 22336 33272 154488 32 26 35  7  0 2026-07-03 19:23:17
 6  1      0    197     75   3036    0    0     0  6282 33222 160212 30 27 37  6  0 2026-07-03 19:23:19
 2  1      0    194     75   3041    0    0     6  3620 33068 154969 32 25 38  5  0 2026-07-03 19:23:21
 7  1      0    196     74   3035    0    0     4  3500 32868 147878 34 27 35  5  0 2026-07-03 19:23:23
 7  1      0    192     74   3039    0    0     2  3616 33438 160865 31 27 37  5  0 2026-07-03 19:23:25
 5  1      0    192     74   3039    0    0     4  3660 32552 153663 32 26 37  5  0 2026-07-03 19:23:27
 4  1      0    199     74   3037    0    0     0  3630 32660 153066 33 26 37  4  0 2026-07-03 19:23:29
 8  1      0    199     74   3036    0    0     8  3560 33030 155244 31 26 37  5  0 2026-07-03 19:23:31
 7  1      0    203     73   3032    0    0    10  3700 32106 142264 34 27 34  5  0 2026-07-03 19:23:33
