procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  3      0   3258     73    921    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 01:05:42
 7  1      0   3246     73    922    0    0   262   150 5393 13783 17  3 77  3  0 2026-07-04 01:05:44
15  0      0   3211     73    924    0    0    76  1414 13845 41352 65 12 22  2  0 2026-07-04 01:05:46
11  0      0   3176     73    927    0    0    18  1896 16240 48528 62 16 21  2  0 2026-07-04 01:05:48
 8  1      0   3046     73    932    0    0     0  2404 18100 54083 62 16 20  2  0 2026-07-04 01:05:50
13  1      0   2809     73    937    0    0     0  2344 19497 55886 60 19 20  1  0 2026-07-04 01:05:52
10  1      0   2609     73    942    0    0     0  2492 20968 59403 59 20 19  1  0 2026-07-04 01:05:54
14  0      0   2554     73    964    0    0     0 11910 21718 63927 60 18 20  2  0 2026-07-04 01:05:56
14  1      0   2545     73    970    0    0    42  2828 22773 62595 57 21 20  2  0 2026-07-04 01:05:58
10  1      0   2535     73    977    0    0     0  3178 23816 68806 56 21 21  1  0 2026-07-04 01:06:00
 9  1      0   2512     73    999    0    0    10 11326 24053 70031 55 22 22  2  0 2026-07-04 01:06:02
 9  1      0   2473     73   1005    0    0     0  2932 24546 67273 53 24 21  2  0 2026-07-04 01:06:04
 8  0      0   2453     73   1010    0    0     0  2540 24763 63755 54 22 21  2  0 2026-07-04 01:06:06
15  0      0   2449     73   1015    0    0     0  2972 23469 61191 57 20 21  2  0 2026-07-04 01:06:08
 7  1      0   2412     73   1038    0    0    92 11652 24428 72565 53 23 22  2  0 2026-07-04 01:06:10
 5  1      0   2400     73   1045    0    0     0  3590 25134 79742 51 22 25  2  0 2026-07-04 01:06:12
 9  4      0   2370     73   1067    0    0     0 11142 25309 80302 50 24 22  4  0 2026-07-04 01:06:14
10  1      0   2360     73   1075    0    0     6  5324 25832 81648 51 23 23  3  0 2026-07-04 01:06:16
13  0      0   2332     73   1082    0    0     0  4068 26521 87748 50 24 24  2  0 2026-07-04 01:06:18
12  0      0   2299     73   1102    0    0     2 33304 29620 122744 44 28 19  9  0 2026-07-04 01:06:20
 8  1      0   2257     73   1133    0    0     0 15540 27279 104618 43 27 28  2  0 2026-07-04 01:06:22
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 8  1      0   2226     73   1145    0    0     0  5874 29473 120005 40 28 28  3  0 2026-07-04 01:06:24
 6  0      0   2205     73   1170    0    0     0 12880 30672 127770 40 30 28  3  0 2026-07-04 01:06:26
 8  0      0   2185     73   1181    0    0    64  5648 28442 104663 42 29 27  3  0 2026-07-04 01:06:28
12  1      0   2137     73   1208    0    0     0 13676 29592 122183 40 29 28  3  0 2026-07-04 01:06:30
 6  1      0   2119     73   1234    0    0     0 13422 29187 120144 40 29 29  3  0 2026-07-04 01:06:32
 9  1      0   2100     73   1244    0    0     0  5452 29588 120160 40 30 28  3  0 2026-07-04 01:06:34
11  0      0   2064     73   1268    0    0    82 11954 30472 130804 41 27 29  3  0 2026-07-04 01:06:36
15  1      0   2030     73   1281    0    0     0  6794 28722 108015 44 27 27  2  0 2026-07-04 01:06:38
10  1      0   1989     73   1308    0    0     0 13728 29536 121090 41 29 27  3  0 2026-07-04 01:06:40
10  0      0   1978     73   1318    0    0     0  4664 27931 102068 46 26 25  2  0 2026-07-04 01:06:42
16  1      0   1929     73   1346    0    0     0 13954 29781 128069 41 29 27  3  0 2026-07-04 01:06:44
12  0      0   1908     73   1370    0    0     0 12702 30748 130280 41 27 29  3  0 2026-07-04 01:06:46
13  0      0   1890     73   1382    0    0     0  6130 29363 112034 43 27 28  2  0 2026-07-04 01:06:48
15  0      0   1869     73   1409    0    0     0 13816 30493 129755 41 28 28  3  0 2026-07-04 01:06:50
10  2      0   1840     73   1416    0    0     6 45642 32746 146373 40 30 24  7  0 2026-07-04 01:06:52
12  0      0   1810     73   1449    0    0     0 17296 29483 119902 42 28 27  2  0 2026-07-04 01:06:54
 9  1      0   1771     73   1478    0    0    20 14586 30464 126624 41 29 27  3  0 2026-07-04 01:06:56
 7  1      0   1757     73   1486    0    0     0  4472 27665 99151 45 27 26  2  0 2026-07-04 01:06:58
10  1      0   1719     73   1514    0    0     0 13708 29412 124830 41 29 28  3  0 2026-07-04 01:07:00
 5  1      0   1689     73   1539    0    0    56 12780 30579 130804 40 29 28  3  0 2026-07-04 01:07:02
 9  1      0   1670     73   1551    0    0     0  5956 27757 106077 44 27 27  2  0 2026-07-04 01:07:04
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 4  1      0   1655     73   1579    0    0     0 13924 30143 128230 41 29 28  3  0 2026-07-04 01:07:06
11  0      0   1648     73   1588    0    0     0  4536 28802 105310 43 29 26  3  0 2026-07-04 01:07:08
 8  1      0   1614     73   1615    0    0    28 13738 30698 128770 40 29 28  3  0 2026-07-04 01:07:10
11  1      0   1573     73   1642    0    0     0 12580 28967 114022 40 29 28  3  0 2026-07-04 01:07:12
10  1      0   1547     73   1653    0    0     0  5756 29350 120237 41 29 27  3  0 2026-07-04 01:07:14
13  1      0   1528     73   1680    0    0     0 13500 29564 125095 41 27 29  2  0 2026-07-04 01:07:16
 8  1      0   1514     73   1691    0    0     0  5196 29051 110468 43 27 27  3  0 2026-07-04 01:07:18
12  1      0   1471     73   1719    0    0     2 13818 29320 123383 42 27 28  3  0 2026-07-04 01:07:20
 6  1      0   1458     73   1745    0    0     0 11550 29726 126939 41 28 29  3  0 2026-07-04 01:07:22
 6  3      0   1453     73   1755    0    0     8 33926 31246 135926 40 29 25  6  0 2026-07-04 01:07:24
12  0      0   1421     73   1786    0    0     0 31112 30319 124741 41 29 27  4  0 2026-07-04 01:07:26
 4  1      0   1394     73   1814    0    0    46 14502 28788 107207 43 28 27  2  0 2026-07-04 01:07:28
11  1      0   1376     73   1828    0    0   408  5894 29716 126877 40 29 27  4  0 2026-07-04 01:07:30
 9  0      0   1331     73   1853    0    0   180 12104 31034 136835 37 31 28  4  0 2026-07-04 01:07:32
 7  1      0   1318     73   1866    0    0     0  7044 28264 109271 42 27 29  2  0 2026-07-04 01:07:34
 5  1      0   1290     73   1895    0    0    60 13792 29937 126748 39 30 28  3  0 2026-07-04 01:07:36
 7  1      0   1263     73   1919    0    0     0 12404 29509 114153 42 30 26  2  0 2026-07-04 01:07:38
12  1      0   1240     73   1931    0    0     0  6178 29264 119443 41 29 27  3  0 2026-07-04 01:07:40
 4  1      0   1226     73   1957    0    0     0 13194 30373 133206 40 27 30  3  0 2026-07-04 01:07:42
10  1      0   1215     73   1969    0    0     0  5936 28915 115300 40 28 29  2  0 2026-07-04 01:07:44
 8  1      0   1180     73   1996    0    0     0 13576 30523 128748 39 28 29  3  0 2026-07-04 01:07:46
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 8  1      0   1163     74   2022    0    0     0 12310 30540 128062 38 29 29  3  0 2026-07-04 01:07:48
 5  2      0   1138     74   2043    0    0     0 17608 32773 150120 37 30 25  8  0 2026-07-04 01:07:50
 6  2      0   1115     74   2068    0    0     0 25368 31938 145601 38 29 28  4  0 2026-07-04 01:07:52
12  2      0   1071     74   2102    0    0     0 21620 28542 113532 41 29 27  3  0 2026-07-04 01:07:54
 6  2      0   1069     74   2113    0    0     6 24798 30739 130457 41 28 25  6  0 2026-07-04 01:07:56
 8  1      0   1031     74   2136    0    0    64 42080 33158 146757 40 29 23  8  0 2026-07-04 01:07:58
 8  2      0   1007     74   2169    0    0     0 21010 27881 105800 45 27 26  2  0 2026-07-04 01:08:00
 6  1      0    976     74   2203    0    0     0 21720 29080 117327 43 27 27  3  0 2026-07-04 01:08:02
11  1      0    963     74   2216    0    0     0 10544 29799 122721 39 30 29  3  0 2026-07-04 01:08:04
 8  1      0    936     74   2243    0    0     2 16230 30803 129322 40 29 27  3  0 2026-07-04 01:08:06
 6  1      0    926     74   2254    0    0     0  8024 29466 114450 43 28 27  2  0 2026-07-04 01:08:08
12  1      0    880     74   2283    0    0    40 17570 30893 126784 39 30 27  3  0 2026-07-04 01:08:10
