procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
 3  2      0   3180     61   1014    0    0     1     6    0    0  0  0 99  0  0 2026-07-04 01:35:29
 0  0      0   3178     61   1017    0    0  1156     4 4263 9305  4  2 90  4  0 2026-07-04 01:35:31
 1  0      0   3186     61   1017    0    0    60   194 2399 4533  3  1 96  1  0 2026-07-04 01:35:33
 4  0      0   3182     61   1017    0    0     0    10 2835 6552  3  1 96  0  0 2026-07-04 01:35:35
 5  1      0   3153     61   1019    0    0    54   946 10925 31007 53  8 37  1  0 2026-07-04 01:35:37
 9  0      0   3118     61   1021    0    0    24  1676 16245 47340 65 14 19  1  0 2026-07-04 01:35:39
 5  1      0   3075     61   1025    0    0    18  2134 18149 51378 63 16 19  1  0 2026-07-04 01:35:41
 9  0      0   2811     61   1031    0    0     0  3132 20682 59528 61 20 18  1  0 2026-07-04 01:35:43
12  1      0   2602     61   1036    0    0     0  2650 21234 60422 60 20 19  1  0 2026-07-04 01:35:45
10  0      0   2567     61   1059    0    0    10 10810 22794 63568 59 22 18  1  0 2026-07-04 01:35:47
13  1      0   2540     61   1065    0    0     0  3256 22415 58207 60 21 18  1  0 2026-07-04 01:35:49
20  0      0   2464     61   1072    0    0     0  3096 24510 66318 58 23 17  1  0 2026-07-04 01:35:51
13  0      0   2430     61   1097    0    0     0 12156 25061 70790 57 24 18  1  0 2026-07-04 01:35:53
10  0      0   2386     61   1106    0    0     0  4240 25471 74380 55 24 20  1  0 2026-07-04 01:35:55
10  3      0   2340     61   1128    0    0     4 11540 27153 78427 55 25 19  2  0 2026-07-04 01:35:57
 6  1      0   2321     61   1138    0    0     0  5296 23708 63227 57 22 20  2  0 2026-07-04 01:35:59
13  0      0   2304     61   1145    0    0     0  3708 24482 69120 53 23 22  1  0 2026-07-04 01:36:01
16  1      0   2279     61   1169    0    0     0 12476 25266 74258 53 26 20  1  0 2026-07-04 01:36:03
12  1      0   2255     61   1176    0    0     0  3840 23770 67320 53 24 22  2  0 2026-07-04 01:36:05
13  1      0   2224     61   1201    0    0     0 12842 25675 81336 49 27 22  2  0 2026-07-04 01:36:07
13  2      0   2189     61   1207    0    0     2 23854 27577 92278 52 27 15  6  0 2026-07-04 01:36:09
procs -----------메모리---------- ---스왑-- ---입출력-- -시스템-- ------CPU----- -----타임스탬프----
 r  b 스왑 가용 버퍼 캐시  입  출   입   출   in   cs us sy id wa st                      KST
15  0      0   2162     61   1231    0    0     0 17376 28168 94522 50 27 20  3  0 2026-07-04 01:36:11
13  0      0   2127     61   1246    0    0    10  6820 25162 75261 53 26 20  1  0 2026-07-04 01:36:13
 8  1      0   2065     61   1273    0    0     2 13830 27433 94637 51 28 21  1  0 2026-07-04 01:36:15
13  1      0   2024     61   1296    0    0     0 11886 28569 107074 46 30 22  2  0 2026-07-04 01:36:17
15  1      0   2013     61   1311    0    0     0  7444 26607 92265 48 27 23  1  0 2026-07-04 01:36:19
 9  1      0   2000     61   1340    0    0     0 14518 29659 118109 43 31 22  3  0 2026-07-04 01:36:21
13  1      0   1965     61   1366    0    0     2 12662 30865 123890 44 30 23  2  0 2026-07-04 01:36:23
14  1      0   1931     61   1398    0    0     0 15732 28700 114057 45 31 22  2  0 2026-07-04 01:36:25
10  0      0   1887     61   1412    0    0     0  6992 30563 121136 45 31 22  2  0 2026-07-04 01:36:27
14  1      0   1846     61   1441    0    0   112 14626 28888 102456 46 29 21  4  0 2026-07-04 01:36:29
